Algorithm,InputBytes,InitOverhead (s),ExecTime (s),Throughput (B/s),CPU Usage (%),Avalanche (%),MemUsed (MB),Est. CPU Instr.,OutputBits
BLAKE2b,64,2.5e-07,0.008284,"77,253,633",0.0,46.88,0.0117,"23,859,071",512
MD5,64,7.8e-07,0.015578,"41,083,579",48.85,47.66,0.0117,"44,864,639",128
SHA1,64,6.6e-07,0.009617,"66,548,820",0.0,47.5,0.0117,"27,696,959",160
SHA256,64,8.1e-07,0.010345,"61,862,646",52.1,53.91,0.0078,"29,795,039",256
SHA3-256,64,7.8e-07,0.014447,"44,299,241",48.85,46.09,0.0039,"41,607,935",256
BLAKE2b,256,2.5e-07,0.011713,"218,566,172",52.1,47.66,0.0,"33,732,576",512
MD5,256,7.8e-07,0.020541,"124,630,611",25.2,50.78,0.0,"59,157,216",128
SHA1,256,6.6e-07,0.010716,"238,888,422",0.0,53.75,0.0,"30,862,943",160
SHA256,256,8.1e-07,0.0111,"230,630,631",0.0,47.27,0.0,"31,968,000",256
SHA3-256,256,7.8e-07,0.018631,"137,408,350",48.85,48.05,0.0039,"53,656,128",256
BLAKE2b,1024,2.5e-07,0.042274,"242,226,974",49.85,51.95,0.0,"121,750,272",512
MD5,1024,7.8e-07,0.03899,"262,628,749",75.6,49.22,0.0,"112,292,352",128
SHA1,1024,6.6e-07,0.017522,"584,408,172",48.85,47.5,0.0,"50,463,360",160
SHA256,1024,8.1e-07,0.01781,"574,944,976",97.65,51.17,0.0,"51,293,951",256
SHA3-256,1024,7.8e-07,0.048164,"212,605,602",49.85,50.0,0.0,"138,713,184",256
BLAKE2b,4096,2.5e-07,0.136678,"299,681,588",49.85,51.37,0.0,"393,633,791",512
MD5,4096,7.8e-07,0.102194,"400,805,525",49.85,45.31,0.0039,"294,319,296",128
SHA1,4096,6.6e-07,0.044076,"929,293,388",49.85,40.62,0.0,"126,940,319",160
SHA256,4096,8.1e-07,0.04685,"874,274,017",33.95,44.14,0.0,"134,928,864",256
SHA3-256,4096,7.8e-07,0.15339,"267,030,879",45.05,53.12,0.0,"441,764,639",256
